#,Reference,Value,Footprint,Qty,Unit (USD),Total (USD),Datasheet / Link
1,U1,ASM2464PD  USB4 Host Controller,ASM2464PD,1,$8.000,$8.000,https://www.asmedia.com.tw/product/aGaq3YfSP5Yrq0T0/cGaq7XeSw9YRQ5T1
2,U2,SPI Flash  SOIC-8  (Firmware storage),SOIC-8_5.3x5.3mm_P1.27mm,1,$3,$3,http://ww1.microchip.com/downloads/en/DeviceDoc/21832H.pdf
3,U3,SPI Flash  DFN-8  (Firmware storage),DFN-8-1EP_3x2mm_P0.5mm,1,$3,$3,http://ww1.microchip.com/downloads/en/DeviceDoc/21832H.pdf
4,Y1,25MHz Crystal  SMD 3225-4Pin,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,$0.350,$0.350,https://au.rs-online.com/web/p/crystal-units/9047531
5,J1,USB-C Receptacle  Amphenol 12401610E4-2A,USB_C_Receptacle_Amphenol,1,$1.200,$1.200,https://www.usb.org/sites/default/files/documents/usb_type-c.zip
6,J2,SPI Header  2x04  2.54mm,PinHeader_2x04,1,$0.100,$0.100,---
7,J3,PCIe x4 Connector  THT Open,PCIe_x4_tht_open,1,$1.500,$1.500,http://www.ritrontek.com/uploadfile/2016/1026/20161026105231124.pdf
8,J4,Chip Annoyers Header  2x02  2.54mm,PinHeader_2x02,2,$0.10,$0.10,https://www.digikey.com/en/products/detail/harwin-inc/M20-9990246/3728226
9,J5,UART Header  1x04  2.54mm,PinHeader_1x04,1,$0.10,$0.050,https://www.digikey.com/en/products/detail/jst-sales-america-inc/B4B-XH-A/1651047
10,J6,I2C Header  1x04  2.54mm,PinHeader_1x04,1,$0.10,$0.050,https://www.digikey.com/en/products/detail/jst-sales-america-inc/B4B-XH-A/1651047
11,"J7,J8,J9,J10",1x06 Header  1.27mm  x4,PinHeader_1x06,4,$0.20,$0.200,https://www.digikey.in/en/products/detail/jst-sales-america-inc/B6B-PH-K-S/926615
12,"R1,R2,R20,R24,R26,R29,R39,R41,R42,R43",1k ohm  0402,R_0402_1005Metric,10,$0.15,$1.50,https://www.digikey.com.au/en/products/detail/yageo/RC0402FR-071KL/726513
13,"R3,R4,R5,R6,R7,R8,R25,R30,R31",0 ohm  0402,R_0402_1005Metric,9,$0.15,$1.35,https://www.digikey.com.au/en/products/detail/yageo/RC0402JR-070RL/726406
14,"R9,R27,R28,R35,R38,R34,R36,R37",4.7k ohm  0402,R_0402_1005Metric,8,$0.15,$0.75,https://www.digikey.com.au/en/products/detail/yageo/RC0402JR-074K7L/726477
15,"R10,R21,R22, R23",10k ohm  0402,R_0201_0603Metric,4,$0.15,$0.60,https://www.digikey.com.au/en/products/detail/vishay-dale/CRCW040210K0FKED/1178121
16,"R11,R12,R13,R14,R15,R16,R17,R18",220k ohm  0201,R_0201_0603Metric,8,$0.15,$1.20,https://www.digikey.com/en/products/detail/yageo/RC0201JR-07220KP/15219948
19,R32,12.1k ohm  0402,R_0402_1005Metric,1,$0.10,$0.10,https://www.digikey.in/en/products/detail/yageo/RC0402FR-1012K1L/17020868
20,R33,100k ohm  0402,R_0402_1005Metric,1,$0.20,$0.20,https://www.digikey.com/en/products/detail/yageo/AT0402BRD07100KL/5138605
22,C1,10pF  0402,C_0402_1005Metric,1,$0.10,$0.10,https://www.digikey.com/en/products/detail/yageo/CC0402JRNPO8BN100/5883266
23,"C2,C3,C4,C5,C6,C7,C8,C9",330nF  0201,C_0201_0603Metric,8,$0.10,$0.80,https://www.mouser.in/ProductDetail/Walsin/0201X334M6R3CT?qs=iLbezkQI%252Bsj6TtN1Mk8apQ%3D%3D
24,"C10,C21",1uF  0402,C_0402_1005Metric,2,$0.01,$0.02,https://robu.in/product/1uf-capacitor-smdc-0402-pack-of-50/
25,C11,220pF  0402  DNP,C_0402_1005Metric,1,$0.10,$0.10,https://www.digikey.com/en/products/detail/yageo/CC0402GRNPO9BN221/5883253
26,"C12,C13,C14,C15,C16,C17,C18,C19",220nF  0402,C_0402_1005Metric,8,$0.003,$0.024,https://www.lcsc.com/product-detail/C2649521.html
27,C20,100nF  0402,C_0402_1005Metric,1,$0.003,$0.003,https://www.lcsc.com/product-detail/C60474.html
28,"D1,D2,D3,D4,D5,D6,D7,D8",Diode  0201  DNP,D_0201_0603Metric,8,$0.32,$2.56,https://www.digikey.in/en/products/detail/kyocera-avx/GG020105100N2P/6826542
29,"D9,D10,D11,D12,D13,D14,D15,D16",LED  0603,LED_0603_1608Metric,8,$0.01,$0.08,https://www.lcsc.com/product-detail/C19171390.html
,TOTAL,,,,,15.462,